"Dato";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"02.07.2012";"McDonald's         71155";"-179,50";"8.317,25";"Udført";"Nej"
"02.07.2012";"Automatudb. 0400-6674";"-500,00";"7.817,25";"Udført";"Nej"
"02.07.2012";"VDK USD     9,99";"-60,75";"7.756,50";"Udført";"Nej"
"02.07.2012";"VDK USD    22,16";"-134,74";"7.621,76";"Udført";"Nej"
"02.07.2012";"VDK DKK    99,00";"-99,00";"7.522,76";"Udført";"Nej"
"02.07.2012";"Candy Megastore Sw 81656";"-141,50";"7.381,26";"Udført";"Nej"
"02.07.2012";"Player ApS         61108";"-400,00";"6.981,26";"Udført";"Nej"
"02.07.2012";"Faraos Cigarer     71232";"-530,00";"6.451,26";"Udført";"Nej"
"02.07.2012";"Faraos Cigarer     71253";"-701,00";"5.750,26";"Udført";"Nej"
"02.07.2012";"Lemontblanc        96426";"-181,00";"5.569,26";"Udført";"Nej"
"02.07.2012";"KØBMANDSGÅRDEN     75213";"-174,15";"5.395,11";"Udført";"Nej"
"02.07.2012";"LISELEJE BAGEREN A 49691";"-102,00";"5.293,11";"Udført";"Nej"
"02.07.2012";"onfone.dk          69829";"-123,75";"5.169,36";"Udført";"Nej"
"02.07.2012";"Shell Service      01746";"-334,19";"4.835,17";"Udført";"Nej"
"02.07.2012";"FOCUS ØSTER FARIMA 63587";"-231,25";"4.603,92";"Udført";"Nej"
"02.07.2012";"PULCINELLA PIZZARI 42460";"-154,00";"4.449,92";"Udført";"Nej"
"02.07.2012";"TV 2/DANMARK       19550";"-19,00";"4.430,92";"Udført";"Nej"
"02.07.2012";"Den Lille Butik    21152";"-53,00";"4.377,92";"Udført";"Nej"
"02.07.2012";"Monsson Accessoriz 11053";"-84,00";"4.293,92";"Udført";"Nej"
"02.07.2012";"Player ApS         61459";"-800,00";"3.493,92";"Udført";"Nej"
"02.07.2012";"BRUNO & JOEL       16574";"-900,00";"2.593,92";"Udført";"Nej"
"02.07.2012";"Irma Nørre Voldg.  10023";"-345,50";"2.248,42";"Udført";"Nej"
"03.07.2012";"VDK DKK    99,00";"-99,00";"2.149,42";"Udført";"Nej"
"03.07.2012";"7-Eleven B 21      69195";"-57,85";"2.091,57";"Udført";"Nej"
"03.07.2012";"Irma Codanhus 2301 33556";"-87,00";"2.004,57";"Udført";"Nej"
"03.07.2012";"CONDITORI LA GLACE 30171";"-694,00";"1.310,57";"Udført";"Nej"
"03.07.2012";"FOCUS ØSTER FARIMA 64316";"-110,50";"1.200,07";"Udført";"Nej"
"03.07.2012";"King tut pizza     55934";"-63,00";"1.137,07";"Udført";"Nej"
"03.07.2012";"McDonald's         70386";"-190,50";"946,57";"Udført";"Nej"
"04.07.2012";"Automatudb. 6737-2266";"-1.300,00";"-353,43";"Udført";"Nej"
"04.07.2012";"FOCUS ØSTER FARIMA 64857";"-98,45";"-451,88";"Udført";"Nej"
"04.07.2012";"Paradis Trianglen  63365";"-200,00";"-651,88";"Udført";"Nej"
"04.07.2012";"Irma Oslo Plads    47013";"-729,00";"-1.380,88";"Udført";"Nej"
"05.07.2012";"TDC Yousee         65393";"-39,70";"-1.420,58";"Udført";"Nej"
"05.07.2012";"VDK DKK   997,19";"-997,19";"-2.417,77";"Udført";"Nej"
"05.07.2012";"KILDESKOVSHALLEN   82719";"-150,00";"-2.567,77";"Udført";"Nej"
